State,Year,Quarter,Transacion_type,Transacion_count,Transacion_amount,Latitude,Longitude
arunachal-pradesh,2018,3,Peer-to-peer payments,49740,308106303.45342577,28.218,94.7278
arunachal-pradesh,2018,3,Merchant payments,4738,5505694.567913429,28.218,94.7278
arunachal-pradesh,2018,3,Financial Services,507,72133.845254878,28.218,94.7278
arunachal-pradesh,2018,3,Others,2039,2044708.9687807967,28.218,94.7278
arunachal-pradesh,2018,4,Recharge & bill payments,97751,20662691.88231328,28.218,94.7278
arunachal-pradesh,2018,4,Peer-to-peer payments,68169,468831493.2328036,28.218,94.7278
arunachal-pradesh,2018,4,Merchant payments,7726,11998974.1040326,28.218,94.7278
arunachal-pradesh,2018,4,Financial Services,561,100597.90379906222,28.218,94.7278
arunachal-pradesh,2018,4,Others,2222,2446271.9688117937,28.218,94.7278
arunachal-pradesh,2019,1,Recharge & bill payments,121303,26796894.998233315,28.218,94.7278
arunachal-pradesh,2019,1,Peer-to-peer payments,93494,568554821.4456317,28.218,94.7278
arunachal-pradesh,2019,1,Merchant payments,9214,11727218.401334248,28.218,94.7278
arunachal-pradesh,2019,1,Financial Services,256,140622.87093631705,28.218,94.7278
arunachal-pradesh,2019,1,Others,2239,2730548.597814082,28.218,94.7278
arunachal-pradesh,2019,2,Recharge & bill payments,131988,30420803.41271234,28.218,94.7278
arunachal-pradesh,2019,2,Peer-to-peer payments,106527,704237943.4054435,28.218,94.7278
arunachal-pradesh,2019,2,Merchant payments,16828,13955724.130712911,28.218,94.7278
arunachal-pradesh,2019,2,Financial Services,267,160660.8821362781,28.218,94.7278
arunachal-pradesh,2019,2,Others,3046,3880742.524023137,28.218,94.7278
arunachal-pradesh,2019,3,Recharge & bill payments,216228,50946104.94289842,28.218,94.7278
arunachal-pradesh,2019,3,Peer-to-peer payments,133484,841037395.2474606,28.218,94.7278
arunachal-pradesh,2019,3,Merchant payments,16900,17178248.07427002,28.218,94.7278
arunachal-pradesh,2019,3,Financial Services,864,64089.11350267195,28.218,94.7278
arunachal-pradesh,2019,3,Others,2758,3419197.4177385764,28.218,94.7278
arunachal-pradesh,2019,4,Recharge & bill payments,259183,63516906.09060433,28.218,94.7278
arunachal-pradesh,2019,4,Peer-to-peer payments,177833,1100137447.9340453,28.218,94.7278
arunachal-pradesh,2019,4,Merchant payments,19769,23192271.69157681,28.218,94.7278
arunachal-pradesh,2019,4,Financial Services,314,305379.7987782319,28.218,94.7278
arunachal-pradesh,2019,4,Others,2376,3421174.01227797,28.218,94.7278
arunachal-pradesh,2020,1,Recharge & bill payments,329834,86011654.77474582,28.218,94.7278
arunachal-pradesh,2020,1,Peer-to-peer payments,203429,1263912288.4066367,28.218,94.7278
arunachal-pradesh,2020,1,Merchant payments,31181,28553052.1339188,28.218,94.7278
arunachal-pradesh,2020,1,Financial Services,470,337812.948161694,28.218,94.7278
arunachal-pradesh,2020,1,Others,2261,2943873.066683824,28.218,94.7278
arunachal-pradesh,2020,2,Recharge & bill payments,522495,145198528.22961134,28.218,94.7278
arunachal-pradesh,2020,2,Peer-to-peer payments,247861,1630654426.0441835,28.218,94.7278
arunachal-pradesh,2020,2,Merchant payments,35169,46446966.61244752,28.218,94.7278
